,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,W,GP,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
553,934,Derrick Coleman,PHI,23,59,1040,587,145,46,68,157,-57
554,365,Derrick McKey,IND,41,57,359,211,88,57,30,79,32
555,96,Detlef Schrempf,SEA,58,78,1232,554,341,60,19,168,545
556,54,Dickey Simpkins,CHI,18,40,132,77,33,9,5,32,36
557,87,Dikembe Mutombo,ATL,50,82,1101,932,82,34,277,168,419
558,931,Don MacLean,NJN,4,9,3,5,0,0,0,2,-21
559,690,Don Reid,DET,33,68,238,175,26,25,55,28,-19
560,140,Donald Royal,CHH,18,31,79,41,17,7,1,10,37
561,1126,Donald Whiteside,ATL,3,3,2,1,1,0,0,1,-15
562,963,Dontae' Jones,BOS,7,15,44,9,5,2,3,11,-2
563,112,Dontonio Wingfield,POR,2,3,1,4,0,0,0,1,-4
564,923,Donyell Marshall,GSW,16,73,1123,628,159,95,73,147,-464
565,57,Doug Christie,TOR,15,78,1287,404,282,190,57,228,-485
566,77,Doug Overton,PHI,6,23,62,14,37,8,1,23,-33
567,28,Doug West,MIN,21,38,157,82,45,11,5,21,-49
568,1003,Drew Barry,ATL,16,27,56,35,49,10,1,30,67
569,190,Duane Causwell,MIA,29,37,89,99,5,7,27,18,-33
570,273,Duane Ferrell,GSW,7,50,94,47,26,21,6,18,-159
571,1516,Ed Gray,ATL,19,30,227,45,34,15,11,30,-75
572,1055,Ed Stokes,TOR,0,4,3,4,1,1,2,2,-17
573,698,Eddie Johnson,HOU,37,75,633,153,88,32,3,62,-87
574,224,Eddie Jones,LAL,60,80,1349,302,246,160,55,146,612
575,922,Elden Campbell,LAL,60,81,816,455,78,35,102,115,26
576,695,Eldridge Recasner,ATL,32,59,548,142,117,41,1,91,-74
577,386,Elliot Perry,MIL,36,81,591,108,230,90,2,128,-238
578,1023,Emanual Davis,HOU,17,45,184,47,59,17,3,52,-16
579,376,Eric Montross,DET,20,48,138,199,11,13,27,29,-170
580,785,Eric Murdock,MIA,55,82,507,156,219,103,13,104,31
581,15,Eric Piatkowski,LAC,15,67,760,236,85,51,12,80,-250
582,35,Eric Riley,DAL,10,39,139,133,22,15,46,37,-57
583,727,Eric Snow,PHI,35,64,209,81,177,60,5,63,-59
584,1540,Eric Washington,DEN,7,66,511,127,78,53,25,72,-522
585,677,Eric Williams,DEN,0,4,79,21,12,4,0,9,-11
586,956,Erick Dampier,GSW,19,82,971,715,94,39,139,175,-508
587,1065,Erick Strickland,DAL,17,67,511,161,167,56,8,106,-224
588,911,Ervin Johnson,MIL,35,81,649,685,59,79,158,117,-88
589,1564,Etdrick Bohannon,IND,5,5,0,6,1,0,2,3,-3
590,280,Felton Spencer,GSW,17,68,162,226,17,23,37,49,-172
591,697,Fred Hoiberg,IND,45,65,261,123,45,40,3,22,-1
592,202,Gary Grant,POR,11,22,105,48,84,17,2,24,3
593,56,Gary Payton,SEA,61,82,1571,376,679,185,18,229,618
594,718,Gary Trent,TOR,25,54,630,338,72,35,27,94,-141
595,248,George Lynch,VAN,19,82,616,362,122,65,41,104,-122
596,45,George McCloud,PHX,39,63,456,218,84,54,13,63,100
597,678,George Zidek,SEA,5,12,29,17,2,0,2,4,-23
598,1666,Gerald Madkins,GSW,4,19,37,15,45,13,1,13,-14
599,786,Gerald Wilkins,ORL,35,72,380,90,78,34,6,79,-145
600,779,Glen Rice,CHH,51,82,1826,353,182,77,22,182,169
601,299,Glenn Robinson,MIL,29,56,1308,307,158,69,34,200,54
602,1539,God Shammgod,WAS,8,20,61,7,36,7,1,21,-12
603,255,Grant Hill,DET,36,81,1712,623,551,143,53,285,216
604,3,Grant Long,DET,19,40,141,150,25,29,12,22,-4
605,246,Greg Anderson,ATL,31,50,88,118,15,19,10,17,-70
606,21,Greg Anthony,SEA,60,80,419,111,205,64,3,91,-27
607,323,Greg Foster,UTA,58,78,441,273,51,15,28,68,97
608,37,Greg Graham,CLE,5,6,16,1,6,1,0,10,-17
609,65,Greg Minor,BOS,32,69,345,150,88,53,11,43,20
610,731,Greg Ostertag,UTA,45,63,297,374,25,28,132,74,160
611,165,Hakeem Olajuwon,HOU,26,47,772,460,143,84,96,126,67
612,1677,Harold Ellis,DEN,2,27,164,50,18,19,4,19,-45
613,265,Harvey Grant,WAS,31,65,170,168,39,23,15,26,-50
614,1080,Henry James,CLE,16,28,80,15,5,1,1,12,-8
615,1006,Herb Williams,NYK,15,27,37,29,4,6,9,5,-29
616,765,Hersey Hawkins,SEA,61,82,862,334,221,148,17,102,485
617,270,Horace Grant,ORL,38,76,921,618,172,81,79,88,-34
618,1024,Horacio Llamas,PHX,6,8,24,18,1,1,3,9,17
619,73,Hot Rod Williams,PHX,48,71,255,312,49,33,60,29,136
620,458,Howard Eisley,UTA,62,82,633,166,346,54,13,160,7
621,93,Hubert Davis,DAL,20,81,898,169,158,43,5,88,-265
622,1134,Ike Austin,LAC,40,78,1055,557,175,61,56,206,-107
623,375,Isaiah Rider,POR,41,74,1458,346,231,55,19,187,94
624,1096,Ivano Newbill,VAN,4,28,58,69,9,10,3,17,-35
625,462,J.R. Reid,CHH,49,79,384,210,51,35,19,65,22
626,917,Jack Haley,NJN,7,16,22,15,0,0,1,4,-5
627,1521,Jacque Vaughn,UTA,35,45,139,38,84,9,1,56,29
628,147,Jalen Rose,IND,58,82,771,195,155,56,14,132,33
629,469,Jamal Mashburn,MIA,29,48,723,236,132,43,14,108,131
630,1530,James Collins,LAC,2,23,59,14,3,6,3,8,-14
631,1526,James Cotton,SEA,7,9,24,6,0,1,1,6,-31
632,381,James Robinson,LAC,14,70,541,111,135,37,10,97,-260
633,994,Jamie Feick,MIL,20,45,102,124,16,25,17,21,2
634,1114,Jaren Jackson,SAS,56,82,722,210,156,60,8,104,342
635,679,Jason Caffey,GSW,44,80,583,344,67,24,20,105,-83
636,467,Jason Kidd,PHX,56,82,954,510,745,162,26,261,305
637,1535,Jason Lawson,ORL,6,17,26,27,5,4,4,2,15
638,420,Jayson Williams,NJN,35,65,837,883,67,45,49,95,152
639,81,Jeff Grayer,GSW,3,5,10,4,2,2,0,4,-4
640,204,Jeff Hornacek,UTA,60,80,1139,270,349,109,15,132,464
641,999,Jeff Nordgaard,MIL,6,13,18,14,3,2,0,3,5
642,1532,Jerald Honeycutt,MIL,15,38,245,93,33,20,6,49,18
643,979,Jermaine O'Neal,POR,35,60,269,201,17,15,58,55,13
644,760,Jerome Kersey,SEA,27,37,234,135,44,52,14,36,125
645,966,Jerome Williams,DET,35,77,410,379,48,51,10,60,131
646,711,Jerry Stackhouse,DET,32,79,1249,266,241,89,59,224,-18
647,754,Jim Jackson,GSW,24,79,1242,400,381,79,8,263,-303
648,29,Jim McIlvaine,SEA,57,78,247,259,19,24,137,54,157
649,1429,Jimmy Oliver,WAS,0,1,5,2,1,0,0,0,3
650,247,Joe Dumars,DET,34,72,943,104,253,44,2,84,28
651,170,Joe Kleine,CHI,33,46,93,77,30,4,5,28,-38
652,693,Joe Smith,PHI,23,79,1155,471,94,62,51,158,-415
653,1086,Joe Stephens,HOU,0,7,27,6,1,2,0,2,-12
654,341,Joe Wolf,DEN,8,57,87,126,30,20,7,22,-79
655,180,John Crotty,POR,16,26,96,32,63,10,1,42,-36
656,317,John Starks,NYK,43,82,1059,230,219,78,5,142,91
657,304,John Stockton,UTA,51,64,770,166,543,89,10,161,498
658,1519,John Thomas,TOR,17,54,151,106,17,22,12,46,1
659,961,John Wallace,TOR,16,82,1147,373,110,62,101,172,-473
660,271,Johnny Newman,DEN,11,74,1089,141,138,77,24,147,-481
661,1511,Johnny Taylor,ORL,4,12,38,13,1,3,2,8,8
662,468,Jon Barry,LAL,39,49,121,37,51,24,3,22,21
663,146,Jud Buechler,CHI,55,74,198,77,49,22,15,21,17
664,436,Juwan Howard,WAS,32,64,1184,449,208,82,23,185,-47
665,252,Karl Malone,UTA,61,81,2190,834,316,96,70,247,585
666,1529,Kebu Stewart,PHI,6,15,40,31,2,5,2,8,25
667,173,Keith Askins,MIA,32,46,111,101,29,27,12,26,36
668,1522,Keith Booth,CHI,4,6,10,4,1,0,0,3,-4
669,1569,Keith Closs,LAC,12,58,232,168,19,12,81,38,-108
670,1496,Keith Van Horn,NJN,32,62,1219,408,106,64,25,164,145
671,1509,Kelvin Cato,POR,41,74,282,252,23,29,94,44,-63
672,383,Kendall Gill,NJN,42,81,1087,391,200,156,64,124,51
673,72,Kenny Anderson,BOS,33,61,746,173,345,87,1,143,16
674,954,Kerry Kittles,NJN,40,77,1328,362,176,132,37,106,144
675,236,Kevin Edwards,ORL,23,39,150,54,39,26,1,30,-16
676,708,Kevin Garnett,MIN,45,82,1518,786,348,139,150,192,155
677,134,Kevin Johnson,PHX,35,50,476,164,245,27,8,101,158
678,1563,Kevin Ollie,ORL,13,35,123,39,65,13,0,44,-28
679,1089,Kevin Salvadori,SAC,5,16,5,20,3,0,11,5,-18
680,788,Kevin Willis,HOU,41,81,1305,679,78,55,38,170,-76
681,234,Khalid Reeves,DAL,20,82,717,185,230,80,10,130,-136
682,1619,Kiwane Garris,DEN,0,28,68,19,28,7,1,15,-61
683,977,Kobe Bryant,LAL,58,79,1220,242,199,74,40,157,263
684,703,Kurt Thomas,DAL,1,5,37,24,3,1,0,10,-7
685,111,LaPhonso Ellis,DEN,11,76,1083,544,213,65,49,173,-604
686,441,Lamond Murray,LAC,17,79,1220,484,142,118,54,171,-378
687,913,Larry Johnson,NYK,38,70,1087,401,150,40,13,127,83
688,1683,Larry Robinson,VAN,1,6,17,12,1,4,0,2,-9
689,84,Latrell Sprewell,GSW,1,14,299,51,68,19,5,44,-180
690,1444,Lawrence Funderburke,SAC,11,52,493,234,63,19,15,62,-134
691,734,Lawrence Moten,WAS,3,8,9,1,3,0,0,1,-22
692,289,Ledell Eackles,WAS,21,42,218,75,16,17,0,29,29
693,195,Lee Mayberry,VAN,18,79,363,114,349,65,10,113,-78
694,283,Lindsey Hunter,DET,30,71,862,247,224,123,10,110,-11
695,1036,Litterial Green,MIL,6,21,25,7,16,4,0,8,-9
696,1380,Lloyd Daniels,TOR,3,6,34,7,4,3,2,4,-26
697,953,Lorenzen Wright,LAC,13,69,623,606,55,55,87,81,-224
698,31,Lorenzo Williams,WAS,3,14,26,26,3,2,3,2,-33
699,919,Loy Vaught,LAC,0,10,75,65,7,4,2,13,-86
700,26,Luc Longley,CHI,42,58,663,341,161,34,62,130,258
701,446,Lucious Harris,NJN,27,50,191,52,42,42,5,21,17
702,51,Mahmoud Abdul-Rauf,SAC,10,31,227,37,58,16,1,19,-76
703,990,Malik Rose,SAS,37,53,158,90,19,21,7,44,-67
704,907,Malik Sealy,DET,34,77,591,219,100,65,20,79,109
