,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
11857,11857,2023,1631230,Dominick Barlow,1610612759,SAS,10,95.155,35,23,7,2,2,6,0,0.605,0.1166,0.12275,14.909245676235258,0.2577469327692596,0.0
11859,11859,2023,1628978,Donte DiVincenzo,1610612744,GSW,48,1209.5833333333333,430,199,159,63,5,70,99,0.5142307692307692,0.1571538461538461,0.0992307692307692,14.176860089709091,2.384166244167382,0.0
11860,11860,2023,1627827,Dorian Finney-Smith,1610612751,BKN,44,1406.09,390,214,63,38,20,40,81,0.4736923076923077,0.1349230769230769,0.0526153846153846,10.814525230306536,2.0334134568917204,0.0
11861,11861,2023,203926,Doug McDermott,1610612759,SAS,51,1043.2016666666666,509,112,74,9,6,48,95,0.5984444444444444,0.1855555555555555,0.0823888888888889,12.75047579189228,2.306229149812728,0.0
11862,11862,2023,203110,Draymond Green,1610612744,GSW,52,1645.888333333333,424,380,358,50,42,134,32,0.6019473684210526,0.1261052631578947,0.093,13.89292906879136,3.2456659956051293,0.0
11863,11863,2023,1629234,Drew Eubanks,1610612757,POR,56,1092.611666666667,332,276,64,28,67,44,3,0.6917777777777778,0.1105263157894737,0.089,18.025651887563384,3.0005512721066747,0.0
11864,11864,2023,1630696,Dru Smith,1610612751,BKN,8,96.52666666666669,22,15,10,8,3,2,2,0.1776666666666666,0.0222222222222222,0.0073333333333333,12.76408916427943,,0.0
11865,11865,2023,1630613,Duane Washington Jr.,1610612752,NYK,31,393.82666666666665,244,36,63,6,4,34,40,0.3698,0.1669285714285714,-0.0091999999999999,11.562385445134009,0.4028573685062706,0.0
11866,11866,2023,1629130,Duncan Robinson,1610612748,MIA,29,523.8166666666667,200,57,35,9,0,19,48,0.5833636363636363,0.1274285714285714,0.0634545454545454,8.827115165313565,0.6054896766741118,0.0
11867,11867,2023,203939,Dwight Powell,1610612742,DAL,55,1083.368333333333,374,235,44,35,23,50,0,0.7605882352941177,0.1240588235294117,0.0784117647058823,17.934485722156637,3.834868602656636,0.0
11868,11868,2023,1630700,Dyson Daniels,1610612740,NOP,39,777.7566666666667,176,138,96,34,10,43,20,0.5263333333333333,0.1540588235294117,0.1251333333333333,10.662679480830636,0.7470889427977049,0.0
11869,11869,2023,1628410,Edmond Sumner,1610612751,BKN,46,668.47,342,72,66,30,9,44,28,0.4892857142857142,0.1558125,0.0445,16.672297439377825,1.77752141750078,0.0
11870,11870,2023,201569,Eric Gordon,1610612746,LAC,49,1466.3416666666667,635,101,146,32,19,83,88,0.4801428571428571,0.1606428571428571,0.062,13.293120860495437,2.8280574015500286,0.0
11871,11871,2023,1630647,Eugene Omoruyi,1610612765,DET,23,272.3233333333333,113,52,11,14,0,16,8,0.578375,0.1825,-0.11025,12.307073436126306,0.3806306062819277,0.0
11872,11872,2023,203095,Evan Fournier,1610612752,NYK,23,413.86,157,45,35,14,3,19,33,0.5826666666666667,0.0898947368421052,0.0458888888888888,9.19516392407768,0.5205574101385901,0.0
11873,11873,2023,1630596,Evan Mobley,1610612739,CLE,59,2015.6566666666668,928,526,158,46,80,120,14,0.6034736842105263,0.183578947368421,0.1216315789473684,19.597715376696407,5.354842867970955,0.0
11874,11874,2023,1630267,Facundo Campazzo,1610612742,DAL,8,52.16166666666667,10,2,9,6,0,3,3,0.0713333333333333,0.038375,-0.0436666666666666,9.096750371292188,-0.0278668350486898,0.0
