,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
3214,3214,2004,2050,Morris Peterson,1610612761,TOR,51,1156.2133333333334,391,153,72,42,9,39,79,0.5169333333333334,0.1673,0.1003,17.06383309951044,3.434631776217125,0.0
3215,3215,2004,1737,Nazr Mohammed,1610612752,NYK,53,939.32,345,267,20,22,27,55,0,0.4776923076923077,0.1673333333333333,0.0716153846153846,18.07886065693719,2.474379316439077,0.0
3216,3216,2004,2569,Ndudi Ebi,1610612750,MIN,17,31.525,13,3,3,0,4,3,0,0.2853333333333333,0.1144090909090909,-0.267,11.7740711069858,0.0043193555858373,0.0
3217,3217,2004,2403,Nene,1610612743,DEN,49,1600.4166666666667,564,320,106,69,28,122,0,0.5905,0.1387058823529411,0.0837,17.68051544653515,4.144926018929611,0.0
3218,3218,2004,89,Nick Van Exel,1610612744,GSW,32,1060.5766666666666,418,83,181,17,1,67,39,0.491,0.16088,0.076,16.647046521573948,3.0057685277587813,0.0
3219,3219,2004,2401,Nikoloz Tskitishvili,1610612743,DEN,29,227.7,80,44,10,4,8,13,2,0.2624444444444445,0.0980294117647058,-0.0482222222222222,9.257339605979778,0.2458572338044171,0.0
3220,3220,2004,178,Olden Polynice,1610612746,LAC,2,11.0,0,2,1,1,0,4,0,0.0,0.0751666666666666,-0.106,-12.33233111125621,,0.0
3221,3221,2004,932,Oliver Miller,1610612750,MIN,29,387.84,102,102,30,12,19,24,0,0.386625,0.1174705882352941,0.4808125,18.591374693511696,1.0703156706864967,0.0
3222,3222,2004,2241,Omar Cook,1610612757,POR,5,52.20333333333333,8,1,10,4,0,4,0,0.3333333333333333,0.063125,0.0598333333333333,13.004608903217724,,0.0
3223,3223,2004,970,Othella Harrington,1610612752,NYK,42,665.8816666666667,201,141,23,8,11,51,0,0.5075416666666667,0.1322962962962963,-0.0087499999999999,11.46048215814179,1.0595036133334748,0.0
